Description;Category
- HONESTY PAY KF - 17 11 /;MERCADO
PAY - * ANDRERI PAG - 04 12 /;OUTROS
PAGA TECIDOS CT -;ROUPAS E ACESSÓRIOS
MICROSOFT XBOX *;LAZER E ENTRETENIMENTO
IFDMACARRAO IFOOD;RESTAURANTES
* PG PRIMA CA - AS PRI CT;COMPRAS DIVERSAS
PLK FILIAL;COMPRAS DIVERSAS
- PAY EVENTOS LF 12 - / 10;LAZER E ENTRETENIMENTO
PAY -O CHOPP BAR-13/12;RESTAURANTES
- PAY PLK FILIAL;COMPRAS DIVERSAS
- PAY MP RUEDOCA * - 19 05 /;RESTAURANTES
RSHOP MENGU - POSTO;TRANSPORTE
PAY - R DE M OLIV;OUTROS
* PAG GAROTAFA - CT / N 03 03;COMPRAS DIVERSAS
PAY -GRAN COFFEE-12/12;RESTAURANTES
TRANSF PIX / TATIANE03 01;TRANSFERÊNCIA BANCÁRIA
PIX THIAGO TRANSF 01 05 /;TRANSFERÊNCIA BANCÁRIA
PIX QRS DEMERGE29/09;OUTROS
PAY - BARBEARIA P;CUIDADOS PESSOAIS
BRASI MAHLE;MERCADO
AMAZONPRIMEBR;LAZER E ENTRETENIMENTO
MÓVEL CLARO;TELECOMUNICAÇÕES
- PAY DEOLA DONA 29 - / 11;RESTAURANTES
MERCADO * LIVRE ALPHA03 03 /;COMPRAS DIVERSAS
MEGA BAZAR PAPELARIA;EDUCAÇÃO
DAJU AGUA VE - CT 02 02 /;ROUPAS E ACESSÓRIOS
- RSCSS PAMONHAS SE 24 - 02 /;RESTAURANTES
PARAR SEM ABASTECE *;TRANSPORTE
- PAY ESTACIO BAT - / 06 12;TRANSPORTE
PIX TRANSF ISABELL12/05;MESADA
KF HONESTY;MERCADO
REMUNER POUP SALARIO BAS;POUPANÇA E INVESTIMENTOS
PAY - KF - HONESTY 04 12 /;MERCADO
DAISO BRASIL SHOPPING;COMPRAS DIVERSAS
* PG TON ASSA CT -;OUTROS
RSHOP MERLI - LEROY;COMPRAS DIVERSAS
QRS PIX TESOURO NAC14 12 /;POUPANÇA E INVESTIMENTOS
TRANSP COLET-CT NSP. E;TRANSPORTE
- RSHOP MENGU POSTO;TRANSPORTE
AGUA DAJU - VE CT;ROUPAS E ACESSÓRIOS
PAY - DRIVE BU IN 15 - 06 /;RESTAURANTES
- PAY TEMPO DA FE 04 - 12 /;OUTROS
TED 745. 0001. PAYPAL B D;RECEITA
- PAY IFDDRIVE I 26 - 02 /;TRANSPORTE
- PAY PAR IMPULSO;LAZER E ENTRETENIMENTO
PIX QRS ROBERTA MUL;TRANSFERÊNCIA BANCÁRIA
- RSHOP POP SACOLAO;MERCADO
SEM PAR * SEM PARAR *;TRANSPORTE
- PAY PAG * - BOTECOD / 17 12;RESTAURANTES
PAY -MUCHINSKI E-15/12;OUTROS
PANIFICADOR PAY - - 21 12 /;MERCADO
IFDCHINA IFOOD IN;RESTAURANTES
RSCSS - PASSAUNA PA;LAZER E ENTRETENIMENTO
ASMSERV;OUTROS
MODA BEM DO - CT TOS L;ROUPAS E ACESSÓRIOS
TRANSF PIX ISABELL;MESADA
FOLHA PAGAMENTO MENSAL;SALÁRIO
IFOOD DIST IFDGRPF;RESTAURANTES
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
TRANSP CT COLET -. RNSPE E;TRANSPORTE
PIX TATIANE TRANSF;TRANSFERÊNCIA BANCÁRIA
PAG*ATENAFENIX;OUTROS
- RSCSS PA PASSAUNA;LAZER E ENTRETENIMENTO
GYMPASSBR GYMPASS;SAÚDE
INT VS UNICLASS;PAGAMENTO CARTÃO
FESTIVAL;MERCADO
- STUDIO NMACH CT;OUTROS
- PAY PAGJOHNNYR;OUTROS
- MERCATELLI CT;COMPRAS DIVERSAS
PAG*DUDUFILH-CT;OUTROS
POSTO AUTO;TRANSPORTE
- PAY YANG 29 - 12 /;RESTAURANTES
RECANTO;RESTAURANTES
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
- TRIAMICCI CT;RESTAURANTES
LOVE COXINHA - ALLIADIU CT;RESTAURANTES
STARBUCKS 24 - CT TACAO;RESTAURANTES
MERLIN LEROY;COMPRAS DIVERSAS
- BK PAY DRIVE PO - 21 06 /;RESTAURANTES
- PANIFICADOR PAY - 01 12 /;MERCADO
STAR SH 191;RESTAURANTES
- IFD PAY * KINDZIE 11 - / 03;RESTAURANTES
PAY - COCO BAMBU - / 01 01;RESTAURANTES
HONESTY KF;MERCADO
- PAY * MP VINTAGE - 14 10 /;CUIDADOS PESSOAIS
NETFLIX COM.;LAZER E ENTRETENIMENTO
ASSA FRANGO;RESTAURANTES
RSCSS - SAO GAB SIM;SAÚDE
- PAY - PANIFICADOR 28 04 /;MERCADO
- PAY LUIZ ELVIS - 25 / 05;LAZER E ENTRETENIMENTO
- KF RSCSS HONESTY - 18 / 11;MERCADO
UBER TRIP *;TRANSPORTE
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
FESTIVAL;MERCADO
- PAY DARK SUGAR - 05 07 /;RESTAURANTES
FOLHA FERIAS DE;SALÁRIO
TRANSF PIX / TATIANE27 10;OUTROS
- PAY PASTELARIA 24 - 05 /;RESTAURANTES
- VARIEDADES PAY - 02 12 /;OUTROS
PAY - PAG * 28 CARMELA - 09 /;RESTAURANTES
- PAY SUPER ITALO;MERCADO
TRIAMICCI CT -;RESTAURANTES
PAY -TELECELL -27/10;OUTROS
PAY LANCHONETE -;RESTAURANTES
PAY PLANSHOPPIN - - 12 02 /;OUTROS
- PAY DIS SERVICO - 02 05 /;OUTROS
PIX QRS DEMERGE21 / 05;OUTROS
- PAY ITALO SUPER - / 12 14;MERCADO
- PAGANGELAA PAY 11 - / 05;OUTROS
COSTELA;RESTAURANTES
PIX DEMERGE12 QRS 03 /;OUTROS
CLARO DA 08806989 MOVEL;TELECOMUNICAÇÕES
PIX S QRS VIA A 17 10 /;OUTROS
PIX QRS SEM PARAR I;TRANSPORTE
FINANC VEIC PAGTO 24 / 24;TRANSPORTE
PAY GREEN GATE -;RESTAURANTES
UBER* TRIP;TRANSPORTE
TRANSF PIX 06 THIAGO / 05;TRANSFERÊNCIA BANCÁRIA
- BUBBLE PAY MIX - / 22 12;RESTAURANTES
FAST SA SHOP 04 12 /;COMPRAS DIVERSAS
RESTAURANTES;RESTAURANTES
SAQUES DINHEIRO EM;SAQUES
AWS AMAZON BRA SERVICOS;OUTROS
* UBER UBER TRIP *;TRANSPORTE
- PAY SACOLAO POP - / 11 19;MERCADO
- RSCSS VILLA ACAI;RESTAURANTES
- RSHOP POP SACOLAO;MERCADO
MOBILEPAG TIT BANCO 237;OUTROS
- RSCSS BATOVI;RESTAURANTES
PIX HOTMART21 / QRS 02;OUTROS
- PAY DHL - POS C - 29 / 05;TRANSPORTE
QRS PIX VIA POSTO T;TRANSPORTE
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
AMERIC LOJAS - 15 CT;COMPRAS DIVERSAS
RSHOP - CONFECCAO J;COMPRAS DIVERSAS
- PAY DEOLA DONA - 29 11 /;RESTAURANTES
PAY -FESTVAL BAT-04/10;MERCADO
- PAY PUDIM O - PER 25 / 02;RESTAURANTES
PAY - ZUL - 3 CREDI / 18 10;TRANSPORTE
- PAY SACOLAO POP - / 11 23;MERCADO
PIX QRS DEMERGE09/03;OUTROS
KF HONESTY;MERCADO
FARMÁCIA;SAÚDE
* UBER * UBER TRIP;TRANSPORTE
MICROSOFT * MICROSOFT 365;LAZER E ENTRETENIMENTO
DRIVE PAY - IN BU - 01 12 /;RESTAURANTES
RSCSS - SAO GAB SIM;SAÚDE
PAGTO FOLHA 13 SALARIO.;SALÁRIO
PAY -SACOLAO POP-10/12;MERCADO
PATIO PAY - BATEL 14 - / 05;OUTROS
POPULAR SACOLAO;MERCADO
ESCOLASEBDOM BOSCO *;EDUCAÇÃO
FELIPED PAGAMENTO;OUTROS
RENT A WISH -CT CA02/02;OUTROS
- PAY DRIVE BU IN;RESTAURANTES
PG UNIVERSO 07 * NARR / 12;EDUCAÇÃO
PAY -PLANSHOPPIN-02/12;OUTROS
FESTIVAL;MERCADO
PIX QRS PREFEITURA / 12 08;OUTROS
INT VS UNICLASS;PAGAMENTO CARTÃO
- PAY EST TRIPARK;TRANSPORTE
FARMÁCIA;SAÚDE
VERDE HIPER;MERCADO
KF HONESTY;MERCADO
PIX TRANSF ISABELL23/06;MESADA
PANIFICADOR;MERCADO
LOJAS AMERIC-CT 15;COMPRAS DIVERSAS
VINDI * ESPA AS03 - CT 03 /;LAZER E ENTRETENIMENTO
WOW*NIX BEAU-CT ALON P;SAÚDE
* HNA OBOTICAR CT -;SAÚDE
AMAZON ALUGUEL PRIME;LAZER E ENTRETENIMENTO
- PAY LUIZ ELVIS - 14 / 06;OUTROS
SUL PACIFICO;OUTROS
PAY -SAMEANDERSO-28/10;RESTAURANTES
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
BELE PRATA E - CT OMERCI;COMPRAS DIVERSAS
- CHERRY PAY COFF 26 - / 11;RESTAURANTES
PAY - HIROTA FOOD 28 - / 11;MERCADO
* WOW NIX BEAU - CT ALON P;SAÚDE
CHEE LANCHES - CT;RESTAURANTES
RESTAUR ANPM - LTDA CT;RESTAURANTES
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
RSHOP - SACOLAO - POP 04 30 /;MERCADO
PAY - COFFE GRAN - / 12 12;RESTAURANTES
TRANSPO COLET - CT. NSP E;TRANSPORTE
PAY CHU - RANCHOS;RESTAURANTES
AMAZON PRIME ALUGUEL;LAZER E ENTRETENIMENTO
IFOOD IFDJURASSIC;RESTAURANTES
QRS PIX OI S. A. E22 - / 12;TELECOMUNICAÇÕES
PAY - - LF EVENTOS / 12 10;LAZER E ENTRETENIMENTO
CIRURGICA CT AL - A;SAÚDE
PG *TON PRIM-CT NITIN;OUTROS
MADEIRAMADEIR 02 / 03;COMPRAS DIVERSAS
QRS PIX PIX MARKETP16 05 /;COMPRAS DIVERSAS
Y PASTELARIA CT -;RESTAURANTES
- PAY PANIFICADOR 12 - 05 /;MERCADO
PIX FGUISOLI QRS CU21 02 /;OUTROS
TRANSF PIX ISABELL06 11 /;MESADA
PAY - TAB KORINGA 31 - 12 /;RESTAURANTES
PAG ASMSERVI * CT -;OUTROS
- PAY LANC THAYMA;RESTAURANTES
DL STORAG * GOOGLE;LAZER E ENTRETENIMENTO
PIX TATIANE TRANSF;TRANSFERÊNCIA BANCÁRIA
- PAY - PANIFICADOR / 18 11;MERCADO
000001 CEI DINHEIRO;RECEITA
CENTAURO;ROUPAS E ACESSÓRIOS
QRS PIX 08 PREFEITURA / 12;OUTROS
PAY - - MUCHINSKI E 15 12 /;OUTROS
PAY - ASMSERV PAG * 22 - / 10;OUTROS
- RSCSS PET - SHOP CL 16 / 05;CUIDADOS COM O PET
REMUNER POUP SALARIO BAS;POUPANÇA E INVESTIMENTOS
PAG * MNAOANACLE RCIAD - CT;COMPRAS DIVERSAS
PIX QRS BUS SERVICO30 / 11;OUTROS
PAY - COFFEE GRAN - 12 12 /;RESTAURANTES
BURIT DECIO;OUTROS
PAY TEMPO - DA FE - 12 / 11;OUTROS
- PAY DA TEMPO FE - 04 12 /;OUTROS
- PAY SACOLAO - POP / 10 12;MERCADO
DM L * CRUNCHYROLL;LAZER E ENTRETENIMENTO
INT UNICLASS VS;PAGAMENTO CARTÃO
PPRO MICROSOFT *;LAZER E ENTRETENIMENTO
MERCADOLIVRE SLOCSTORE *;COMPRAS DIVERSAS
QRS PIX / DEMERGE21 05;OUTROS
SHOPEE * 02 MUVUKASHOP02 /;COMPRAS DIVERSAS
RSHOP PANVEL FARM -;SAÚDE
SEPHORA - CT BATE;COMPRAS DIVERSAS
- PASTELARIA PAY 24 - / 05;RESTAURANTES
A RENT CT WISH - CA02 / 02;OUTROS
LIGHTLA LOJA CT -;COMPRAS DIVERSAS
CE CENTAURO 84;COMPRAS DIVERSAS
- PAY INDU RIMINI 24 - / 02;OUTROS
- P PAY ALI NOBRE - 09 / 12;MERCADO
FESTV SUPER;COMPRAS DIVERSAS
RESTAURANTES;RESTAURANTES
TRANSPO COLET-CT NSP. E;TRANSPORTE
PIX TRANSF 22 THIAGO 12 /;OUTROS
24 STARBUCKS CT - TACAO;RESTAURANTES
- PAGASMSERV PAY 16 - / 06;OUTROS
- PAY LEABER - 06 ESTA / 12;TRANSPORTE
ISABELL01 PIX TRANSF / 12;MESADA
PIX TRANSF THIAGO 12/06;TRANSFERÊNCIA BANCÁRIA
01 MADEIRAMADEIR 03 /;COMPRAS DIVERSAS
ULTRAGAZ DA 21900 DEMAI;MORADIA
DA ULTRAGAZ DEMAI 21900;MORADIA
- RSCSS PIZZ MILLAN;RESTAURANTES
745 TED. 0001. B PAYPAL D;RECEITA
PAY SACOLAO - POP 08 - 12 /;MERCADO
PAY - PAG * - 12 ASMSERV 11 /;OUTROS
SAO DIVERSOS PAULO;COMPRAS DIVERSAS
PAY -LEABER ESTA-06/12;TRANSPORTE
AMAZON ALUGUEL PRIME;LAZER E ENTRETENIMENTO
DL*GOOGLE YOUTUB;LAZER E ENTRETENIMENTO
CAXUX POSTO;TRANSPORTE
PAY -PAG*BOTECOD-17/12;RESTAURANTES
PIX ISABELL TRANSF;MESADA
* PAG CAMILACA - O CT;COMPRAS DIVERSAS
MP MELIMAIS *;LAZER E ENTRETENIMENTO
RSCSS - - 01 BATOVI 01 /;COMPRAS DIVERSAS
DA 08806989 CLARO MOVEL;TELECOMUNICAÇÕES
COBASI CURITIBA 02 NO02 /;CUIDADOS COM O PET
CCI ESTAPAR CT -;TRANSPORTE
POP SACOLAO;MERCADO
PAY - LUIZ 16 ELVIS - 06 /;OUTROS
PAY GIOVANA - - SZN / 17 05;CUIDADOS PESSOAIS
- PAY TAB KORINGA;RESTAURANTES
HONESTY KF V-CT;MERCADO
- PAY GELA FREDDO;RESTAURANTES
SUBSCRIPTION CHATGPT;LAZER E ENTRETENIMENTO
UBER TRIP *;TRANSPORTE
IFOOD IFDGRPF DIST;RESTAURANTES
PAY - MP PASTELJ 08 - / 06;RESTAURANTES
DA DEMAI 21900 ULTRAGAZ;OUTROS
GRILL NATIVAS;RESTAURANTES
DA MOVEL 08806989 CLARO;TELECOMUNICAÇÕES
LIV PA CTBA;LAZER E ENTRETENIMENTO
- RSCSS ATLAN POSTO;TRANSPORTE
- RSHOP POP SACOLAO;MERCADO
PANIFICADOR PAY - - / 25 11;MERCADO
PAY - E FARMACIA 17 - 11 /;SAÚDE
PAY -GARAGEM BAT-13/03;TRANSPORTE
SUZIANE PAY - DE;OUTROS
PAY -BOURBON WAL;LAZER E ENTRETENIMENTO
- PAY ANGUS - ASSAD / 23 12;RESTAURANTES
REMUNER SALARIO BAS POUP;POUPANÇA E INVESTIMENTOS
PAG*ASMSERVI-CT;OUTROS
ASMSERV;OUTROS
FARMACIA D E RIA - CT NIS;SAÚDE
RSCSS PA - PASSAUNA;LAZER E ENTRETENIMENTO
PAGAMENTO FOLHA MENSAL;OUTROS
TED 0001 745. . PAYPAL B D;RECEITA
TRANSF PIX PAU ANA;TRANSFERÊNCIA BANCÁRIA
RSHOP-SACOLAO POP-03/05;MERCADO
- CUZ PAY CUZ DA - / 30 11;RESTAURANTES
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
CLARO PIX;TELECOMUNICAÇÕES
UBER UBER * * TRIP;TRANSPORTE
PIX DEMERGE12 QRS 03 /;OUTROS
JUROS POUPANCA SALARIO;POUPANÇA E INVESTIMENTOS
UBER* TRIP;TRANSPORTE
PANIFICADOR;MERCADO
- PAY PAGJOHNNYR;OUTROS
RECANTO;RESTAURANTES
UBER TRIP *;TRANSPORTE
- PAY OUTBACK SHO - 04 / 11;RESTAURANTES
INT PAG TIT BANCO 237;MORADIA
IFOOD IFDCHINA IN;RESTAURANTES
ISABEL TRANSFERÊNCIA;MESADA
- PAY KF HONESTY;MERCADO
- PAY LUIZ ELVIS - / 05 25;LAZER E ENTRETENIMENTO
PAG*ATENAFEN-CT;OUTROS
TED 745.0001.PAYPAL D B;RECEITA
MOBILEPAG 237 TIT BANCO;MORADIA
PIX THIAGO TRANSF;TRANSFERÊNCIA BANCÁRIA
PAG RSCSS - * RESTAUR;RESTAURANTES
SHOK ROSA CT -;COMPRAS DIVERSAS
- PAY BARAQUIAS C - 07 / 12;RESTAURANTES
PAGAMENTO FOLHA MENSAL;SALÁRIO
IFOOD C IFDFRANGOS;RESTAURANTES
JUROS SALÁRIO POUPANÇA;POUPANÇA E INVESTIMENTOS
QRS PIX PREFEITURA 08 12 /;MORADIA
QRS DEMERGE09 PIX / 03;OUTROS
PAY -LA PIZZARIA;RESTAURANTES
SAL MUSTANG;RESTAURANTES
TRANSF PIX ISABELL01 10 /;MESADA
* DL YOUTUB GOOGLE;LAZER E ENTRETENIMENTO
LAGO BRASAL;OUTROS
DA MOVEL 08806989 CLARO;TELECOMUNICAÇÕES
PAY - - 25 ESPETINHOS 02 /;RESTAURANTES
IN DRIVE BURGER;LAZER E ENTRETENIMENTO
PAY - LOJA - 18 PEQUIM / 06;COMPRAS DIVERSAS
ITALO SUPERMERCADOS LT;MERCADO
PAG ASMSERVI * CT -;OUTROS
PANIFICADOR;MERCADO
* UBER UBER TRIP *;TRANSPORTE
BARBEARIA PAY - P;CUIDADOS PESSOAIS
PAY - ESTREL NOVA 15 - 11 /;RESTAURANTES
PAY PAG - * - ANDRELI / 17 12;OUTROS
- PAY ESTREL NOVA - 15 11 /;RESTAURANTES
ULTRAGAZ DEMAI DA 21900;MORADIA
PAY PANIFICADOR -;MERCADO
02 MADEIRAMADEIR 03 /;COMPRAS DIVERSAS
- PAY GRAN - COFFE 12 12 /;RESTAURANTES
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
DA MOVEL 08806989 CLARO;TELECOMUNICAÇÕES
UBER UBER * * TRIP;TRANSPORTE
DRIVE BK THRU;RESTAURANTES
KF HONESTY;MERCADO
POPU - SACOLAO CT;MERCADO
PAY -M R DE OLIV;OUTROS
BARBEARIA;CUIDADOS PESSOAIS
- PAY FARMACIA - E 17 11 /;SAÚDE
NETFLIX.COM;LAZER E ENTRETENIMENTO
UBER UBER * TRIP *;TRANSPORTE
- PAY PAG ANAFLAV * 06 - / 12;OUTROS
RSHOP-PRATA E ART;COMPRAS DIVERSAS
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
- PAY DRIVE BU IN;RESTAURANTES
- PAY QUEIJO PAO;RESTAURANTES
- PAY PANIFICADOR;MERCADO
UBER *TRIP HELP.UBER.CO;TRANSPORTE
PIX TRANSF TATIANE20 / 06;TRANSFERÊNCIA BANCÁRIA
PIX TRANSF TATIANE;TRANSFERÊNCIA BANCÁRIA
- PAY GUARDIAN - PA 16 12 /;CUIDADOS COM O PET
TRANSPO COLET-CT - FUC;TRANSPORTE
- PAY BRASIL UCI;LAZER E ENTRETENIMENTO
REPUBLICA;COMPRAS DIVERSAS
QRS PIX PIX MARKETP28 / 12;COMPRAS DIVERSAS
INT TIT 157000401617 PAG;MORADIA
KF HONESTY;MERCADO
* PG NARR UNIVERSO / 07 12;EDUCAÇÃO
PIX QRS PRIMEIRA 10 IG01 /;OUTROS
BIJUTER ZEZE CT -;COMPRAS DIVERSAS
TRANSF PIX TATIANE03 01 /;TRANSFERÊNCIA BANCÁRIA
PIX TRANSF FELIPE 12 18 /;OUTROS
- PAY PANIFICADOR - / 05 12;MERCADO
BAS REMUNER SALARIO POUP;RECEITA
* PAG LOJASRENNER / 02 03;ROUPAS E ACESSÓRIOS
- PAY - 25 PAGASMSERV / 05;OUTROS
PAY PANIFICADOR - 31 - 10 /;MERCADO
UNICLASS INT VS;PAGAMENTO CARTÃO
REMUNER POUP SALARIO BAS;POUPANÇA E INVESTIMENTOS
DO FARMACIA - PING CT;SAÚDE
BALAROTI -CT;MORADIA
KF HONESTY;MERCADO
UBER* TRIP;TRANSPORTE
PAY IFDTROPICA -;OUTROS
QRS TESOURO PIX NAC14 / 12;POUPANÇA E INVESTIMENTOS
- PAY DO SACOLAO - 20 06 /;MERCADO
CINEMARK;LAZER E ENTRETENIMENTO
PAY -MUCHINSKI E-24/02;MERCADO
GATE GREEN;RESTAURANTES
HONESTY V KF CT -;MERCADO
PIX TRANSF PRIMEIR03/01;DOAÇÕES OU CONTRIBUIÇÕES
TRANSFERÊNCIA TAMIRES;TRANSFERÊNCIA BANCÁRIA
PAY PANIFICADOR -;MERCADO
PAY -RIMINI INDU-21/10;OUTROS
FARMACIA DO -CT PING;SAÚDE
AMAZONPRIMEBR;LAZER E ENTRETENIMENTO
PAY -CONDOR CHAM-06/03;MERCADO
PAY - HONESTY KF 04 - / 12;MERCADO
- PAY POP SACOLAO - / 01 12;MERCADO
- PAY PANIFICADOR;MERCADO
- PAY GELA FREDDO;RESTAURANTES
QRS PIX HOTMART21 02 /;OUTROS
MP WHISKYA *;OUTROS
* UBER UBER TRIP *;TRANSPORTE
QRS PIX BANCO / SANTA16 10;PAGAMENTO CARTÃO
- PAY SUGAR DARK - 07 05 /;RESTAURANTES
PAY - CREP TIA SU - 23 06 /;RESTAURANTES
- SACOLAO PAY POP 19 - / 11;MERCADO
HONESTY KF - CT V;MERCADO
- PAY - PANIFICADOR 12 05 /;MERCADO
* PG ASSA TON - CT;OUTROS
- RSCSS HONESTY - 06 KF / 12;MERCADO
FAST SA 06 SHOP / 12;COMPRAS DIVERSAS
KF HONESTY;MERCADO
PAG INT 157000402243 TIT;MORADIA
INT VS UNICLASS;PAGAMENTO CARTÃO
ALIMENTAÇÃO CURITIBA.;RESTAURANTES
* HNA QDBERENI CT -;OUTROS
KF HONESTY V CT -;MERCADO
PAGTO FINANC 24 VEIC 24 /;TRANSPORTE
ASMSERV;OUTROS
PIX TRANSF TATIANE26/02;OUTROS
SEM PARAR * ABASTECE;TRANSPORTE
SAFE2PAY;TRANSFERÊNCIA BANCÁRIA
IFDFERNANDES IFOOD;RESTAURANTES
PAY -HONESTY KF;MERCADO
HONESTY KF V - CT;MERCADO
PAY - - VELHO MADAL / 11 03;RESTAURANTES
PAY PIZZA - P HUT - 18 11 /;RESTAURANTES
- PAY PIZZARIA LA;RESTAURANTES
CANTIN PRIMA CT -;RESTAURANTES
* UBER TRIP;TRANSPORTE
ESCOLASEBDOM*BOSCO;EDUCAÇÃO
LUIZ ELVIS - CT B;OUTROS
SCHMID PORCELANAS / 01 03;COMPRAS DIVERSAS
PAY - PAG ANDRELI * 18 - 10 /;OUTROS
PAY - - CEDRO / 05 19;OUTROS
IFDZORA IFOOD FAST;RESTAURANTES
- PAY MP * VINTAGE - / 10 14;CUIDADOS PESSOAIS
PAY -BAT ESTACIO-06/12;TRANSPORTE
* MERCADOLIVRE SLOCSTORE;COMPRAS DIVERSAS
HAVAN - PAROLI RITIBA CT;ROUPAS E ACESSÓRIOS
- PAY BAMBU COCO;RESTAURANTES
PIX / TRANSF PRIMEIR03 01;DOAÇÕES OU CONTRIBUIÇÕES
TAMIRES TRANSFERÊNCIA;TRANSFERÊNCIA BANCÁRIA
MOBILEPAG 3535411820 TIT;OUTROS
PAY POSTO KAIMA - 18 - / 01;TRANSPORTE
PANTUCCI PAY - - / 13 05;RESTAURANTES
DA DEMAI 21900 ULTRAGAZ;MORADIA
AMAZON ALUGUEL PRIME;LAZER E ENTRETENIMENTO
KF HONESTY;MERCADO
PIX QRS PREFEITURA 08/12;MORADIA
INT VS UNICLASS;PAGAMENTO CARTÃO
GRAN PAY - COFFEE 12 - / 12;RESTAURANTES
JENNIFER DO -CT O CORD;OUTROS
ITALO SUPERMERCADOS LT;MERCADO
POPU SACOLAO CT -;MERCADO
IFOOD FAST IFDZORA;RESTAURANTES
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
PAGAMENTO FOLHA MENSAL;OUTROS
- HONESTY PAY KF - / 25 10;MERCADO
MICROSOFT;LAZER E ENTRETENIMENTO
HONESTY PAY - KF - 26 10 /;MERCADO
CURITI BANCA CT -;OUTROS
PAY - - SACOLAO POP 06 10 /;MERCADO
RSHOP-SACOLAO POP;MERCADO
CAFÉ PIB;RESTAURANTES
MOANA ICE -CT;RESTAURANTES
PAY - CUZ CUZ - DA 11 28 /;RESTAURANTES
* HNA QDBERENI CT -;OUTROS
PRIMA CANTIN - CT;RESTAURANTES
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
MERCADOLIVRE * 03 ALPHA03 /;COMPRAS DIVERSAS
SAFE2PAY;TRANSFERÊNCIA BANCÁRIA
- TELECELL PAY 27 - / 10;OUTROS
PALLA AFFORD CT -;COMPRAS DIVERSAS
POSTO IRM 4;TRANSPORTE
RSCSS - KF - HONESTY 06 12 /;MERCADO
BANCA CURITI - CT;OUTROS
TRANSF PIX THIAGO 12 06 /;TRANSFERÊNCIA BANCÁRIA
NISSE FARCIA CT -;SAÚDE
DIVERSOS PAULO SAO;COMPRAS DIVERSAS
* MICROSOFT SUBSCRIPTION;LAZER E ENTRETENIMENTO
TRANSF PIX / TATIANE02 01;TRANSFERÊNCIA BANCÁRIA
- PANIFICADOR PAY 21 - / 12;MERCADO
SEM PARAR * ABASTECE;TRANSPORTE
MERCADOLIVRE*SLOCSTORE;COMPRAS DIVERSAS
SACOLAO POPULAR;MERCADO
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
RESTAURANTES;RESTAURANTES
PAY - LN CAFES 27 LT - 10 /;RESTAURANTES
FLEX CLARO;TELECOMUNICAÇÕES
PAY -AUTO POSTO;TRANSPORTE
RSHOP - JO LIV CTBA;COMPRAS DIVERSAS
- CAPITAL CO CT;RESTAURANTES
- RSCSS DONALDS MC;RESTAURANTES
- VARIEDADES PAY - 02 12 /;OUTROS
RSHOP - LEROY MERLI;COMPRAS DIVERSAS
BAS POUP REMUNER SALARIO;POUPANÇA E INVESTIMENTOS
QRS SACOLAO PIX POP26 / 04;MERCADO
PAY PAGJORGELU -;OUTROS
PANIFICADOR PAY - - 02 12 /;MERCADO
CARLOS GUIL;OUTROS
PAG TIT INT 157000402243;MORADIA
POUP REMUNER BAS SALARIO;POUPANÇA E INVESTIMENTOS
FESTVAL PAY - BAT - 20 06 /;MERCADO
COLET TRANSPO - CT NSP. E;TRANSPORTE
PAY - POP SACOLAO - 09 26 /;MERCADO
- PAY PEREIRA DA - / 11 15;OUTROS
PAG * CT MNAOANACLE - RCIAD;COMPRAS DIVERSAS
GYMPASSBR GYMPASS;SAÚDE
A WISH RENT - CT CA02 02 /;OUTROS
DL*GOOGLE STORAG;LAZER E ENTRETENIMENTO
PAY -BOURBON WAL;LAZER E ENTRETENIMENTO
JUROS POUPANÇA SALÁRIO;POUPANÇA E INVESTIMENTOS
GYMPASSBR GYMPASS;SAÚDE
ISABELL13 PIX TRANSF / 03;MESADA
PAY -YANG -11/11;RESTAURANTES
- PAY CASA AUROKE - 03 01 /;MERCADO
QRS PREFEITURA PIX 08 / 12;MORADIA
SBF PROD COMERCIO;COMPRAS DIVERSAS
* UBER TRIP HELP UBER. CO.;TRANSPORTE
- PAY COCO - BAMBU 06 05 /;RESTAURANTES
PAY - FAMILIA - MAC 06 10 /;RESTAURANTES
CHIK PRATA CT 01 - / 02;COMPRAS DIVERSAS
IFOOD * IFOOD CLUBE *;RESTAURANTES
- PAY BAMBU COCO;RESTAURANTES
KF HONESTY;MERCADO
FOLHA FERIAS DE;SALÁRIO
POSTO AUTO;TRANSPORTE
PET SHOP - CLA LIVEIR CT;CUIDADOS COM O PET
CLA PET SHOP - CT LIVEIR;CUIDADOS COM O PET
PAY - * COMODOR IFD 27 - / 04;OUTROS
PAG INT TIT 237 BANCO;MORADIA
